row_id,study,arxiv_id,year,benchmark,backbone,scale_band,n_agents,mechanism,acc_mas,acc_base,baseline_type,delta_acc,R_est,R_source,notes,pub_status,domain,split,sampling_method,n_items,eg_tier,attribution_flag
R01,MedAgents,2311.10537,2023,MedQA,GPT-3.5,S6_closed,7,role+synthesis,64.1,54.3,zero-shot,9.8,7,derived,5 question agents + 2 option agents (Table 5),published:Findings ACL 2024,medical,test,full,,primary,
R02,MedAgents,2311.10537,2023,MedQA,GPT-3.5,S6_closed,7,role+synthesis,64.1,61.3,zeroshot-CoT-SC,2.8,1.4,derived,vs self-consistency baseline,published:Findings ACL 2024,medical,test,full,,primary,
R03,MedAgents,2311.10537,2023,MedQA,GPT-4,S6_closed,7,role+synthesis,83.7,73.0,zero-shot,10.7,7,derived,,published:Findings ACL 2024,medical,test,full,,primary,
R04,MedAgents,2311.10537,2023,MedQA,GPT-4,S6_closed,7,role+synthesis,83.7,74.5,zeroshot-CoT-SC,9.2,1.4,derived,,published:Findings ACL 2024,medical,test,full,,primary,
R05,MedAgents,2311.10537,2023,MedMCQA,GPT-4,S6_closed,7,role+synthesis,74.8,69.0,zero-shot,5.8,7,derived,,published:Findings ACL 2024,medical,test,full,,primary,
R06,MedAgents,2311.10537,2023,PubMedQA,GPT-4,S6_closed,6,role+synthesis,76.8,76.2,zero-shot,0.6,6,derived,4 question + 2 option agents,published:Findings ACL 2024,medical,test,full,,secondary,
R07,MedAgents,2311.10537,2023,MMLU-med-6subjects,GPT-4,S6_closed,7,role+synthesis,90.90,84.57,zero-shot,6.33,7,derived,【Epoch3 修正】原填 Table2 的 9 数据集 Avg 列，与 MedQA/MedMCQA/PubMedQA 行重复计数；改为 MMLU 6 个医学科目均值,published:Findings ACL 2024,medical,test,full,,primary,
R08,MedAgents-ablation,2311.10537,2023,MedQA-sub,GPT-3.5,S6_closed,NA,ablation,65.0,55.0,CoT,10.0,NA,reported,Direct 49.0 / CoT 55.0 / +Anal 62.0 / +Anal&Summ 65.0,published:Findings ACL 2024,medical,test,full,,primary,
R09,MDTeamGPT,2503.13856,2025,MedQA,GPT-4,S6_closed,5,role+debate+memory,90.1,77.4,same-backbone-single,12.7,NA,unknown,,preprint,medical,,,,primary,
R10,MDTeamGPT,2503.13856,2025,MedQA,GPT-4,S6_closed,5,role+debate+memory,90.1,90.2,Medprompt-single,-0.1,NA,unknown,MAS ties single-agent prompting ensemble,preprint,medical,,,,primary,
