rid,src,date,tier,score,fBench,title,link,queries
PM38196648,pubmed,2023,T1_review,6,True,One LLM is not Enough: Harnessing the Power of Ensemble Learning for Medical Question Answering.,https://pubmed.ncbi.nlm.nih.gov/38196648/,P02
AX2305.09617,arxiv,2023-05-16,T1_review,6,True,Towards Expert-Level Medical Question Answering with Large Language Models,https://arxiv.org/abs/2305.09617,Q03
AX2305.12031,arxiv,2023-05-19,T1_review,6,True,Clinical Camel: An Open Expert-Level Medical Language Model with Dialogue-Based Knowledge Encoding,https://arxiv.org/abs/2305.12031,Q08
AX2311.10537,arxiv,2023-11-16,T1_review,6,True,MedAgents: Large Language Models as Collaborators for Zero-shot Medical Reasoning,https://arxiv.org/abs/2311.10537,"Q04,Q09,Q08,S02"
PM38960731,pubmed,2024,T1_review,6,True,Reasoning with large language models for medical question answering.,https://pubmed.ncbi.nlm.nih.gov/38960731/,P02
PM38898116,pubmed,2024,T1_review,6,True,OpenMedLM: prompt engineering can out-perform fine-tuning in medical question-answering with open-source large language models.,https://pubmed.ncbi.nlm.nih.gov/38898116/,P02
AX2410.12868,arxiv,2024-10-13,T1_review,6,True,IMAS: A Comprehensive Agentic Approach to Rural Healthcare Delivery,https://arxiv.org/abs/2410.12868,Q04
AX2501.05464,arxiv,2024-12-31,T1_review,6,True,LLM-MedQA: Enhancing Medical Question Answering through Case Studies in Large Language Models,https://arxiv.org/abs/2501.05464,"Q03,Q04,Q05,Q01,Q12"
PM41343478,pubmed,2025,T1_review,6,True,A multi-agent approach to neurological clinical reasoning.,https://pubmed.ncbi.nlm.nih.gov/41343478/,"P01,P02"
PM41066364,pubmed,2025,T1_review,6,True,Collaborative intelligence in AI: Evaluating the performance of a council of AIs on the USMLE.,https://pubmed.ncbi.nlm.nih.gov/41066364/,"P01,P02,P03"
PM41339739,pubmed,2025,T1_review,6,True,Benchmarking large language models on the United States medical licensing examination for clinical reasoning and medical licensing scenarios.,https://pubmed.ncbi.nlm.nih.gov/41339739/,P02
PM40658884,pubmed,2025,T1_review,6,True,Large Language Model Synergy for Ensemble Learning in Medical Question Answering: Design and Evaluation Study.,https://pubmed.ncbi.nlm.nih.gov/40658884/,P02
PM39779926,pubmed,2025,T1_review,6,True,Toward expert-level medical question answering with large language models.,https://pubmed.ncbi.nlm.nih.gov/39779926/,P02
AX2502.13010,arxiv,2025-02-18,T1_review,6,True,Agentic Medical Knowledge Graphs Enhance Medical Question Answering: Bridging the Gap Between LLMs and Evolving Medical Knowledge,https://arxiv.org/abs/2502.13010,"Q03,Q04,Q09"
AX2503.05505,arxiv,2025-03-07,T1_review,6,True,Correctness Coverage Evaluation for Medical Multiple-Choice Question Answering Based on the Enhanced Conformal Prediction Framework,https://arxiv.org/abs/2503.05505,Q03
AX2503.13856,arxiv,2025-03-18,T1_review,6,True,MDTeamGPT: A Self-Evolving LLM-based Multi-Agent Framework for Multi-Disciplinary Team Medical Consultation,https://arxiv.org/abs/2503.13856,"Q04,Q05,Q01,Q07,Q08,S07"
AX2504.21252,arxiv,2025-04-30,T1_review,6,True,Talk Before You Retrieve: Agent-Led Discussions for Better RAG in Medical QA,https://arxiv.org/abs/2504.21252,"Q03,Q08"
AX2505.23075,arxiv,2025-05-29,T1_review,6,True,Second Opinion Matters: Towards Adaptive Clinical AI via the Consensus of Expert Model Ensemble,https://arxiv.org/abs/2505.23075,"Q04,Q09,Q07"
AX2506.01257,arxiv,2025-06-02,T1_review,6,True,"DeepSeek in Healthcare: A Survey of Capabilities, Risks, and Clinical Applications of Open-Source Large Language Models",https://arxiv.org/abs/2506.01257,Q08
AX2506.01252,arxiv,2025-06-02,T1_review,6,True,"MTCMB: A Multi-Task Benchmark Framework for Evaluating LLMs on Knowledge, Reasoning, and Safety in Traditional Chinese Medicine",https://arxiv.org/abs/2506.01252,Q08
AX2506.09513,arxiv,2025-06-11,T1_review,6,True,ReasonMed: A 370K Multi-Agent Generated Dataset for Advancing Medical Reasoning,https://arxiv.org/abs/2506.09513,"Q03,Q12,Q14,Q01,Q02,S07"
AX2507.08916,arxiv,2025-07-11,T1_review,6,True,"Evaluating LLMs in Medicine: A Call for Rigor, Transparency",https://arxiv.org/abs/2507.08916,"Q03,Q08"
AX2508.14063,arxiv,2025-08-10,T1_review,6,True,A Multi-Agent Approach to Neurological Clinical Reasoning,https://arxiv.org/abs/2508.14063,"Q04,Q05,Q14,Q01,Q02"
AX2508.13754,arxiv,2025-08-19,T1_review,6,True,Expertise-aware Multi-LLM Recruitment and Collaboration for Medical Decision-Making,https://arxiv.org/abs/2508.13754,"Q08,Q01,Q02"
AX2509.23188,arxiv,2025-09-27,T1_review,6,True,"Diagnose, Localize, Align: A Full-Stack Framework for Reliable LLM Multi-Agent Systems under Instruction Conflicts",https://arxiv.org/abs/2509.23188,"Q04,Q05"
AX2509.23368,arxiv,2025-09-27,T1_review,6,True,MedCritical: Enhancing Medical Reasoning in Small Language Models via Self-Collaborative Correction,https://arxiv.org/abs/2509.23368,Q08
AX2510.01499,arxiv,2025-10-01,T1_review,6,True,Beyond Majority Voting: LLM Aggregation by Leveraging Higher-Order Information,https://arxiv.org/abs/2510.01499,Q10
AX2510.14353,arxiv,2025-10-16,T1_review,6,True,CURE: Confidence-driven Unified Reasoning Ensemble Framework for Medical Question Answering,https://arxiv.org/abs/2510.14353,"Q03,Q08"
AX2511.15974,arxiv,2025-11-20,T1_review,6,True,KRAL: Knowledge and Reasoning Augmented Learning for LLM-assisted Clinical Antimicrobial Therapy,https://arxiv.org/abs/2511.15974,"Q04,S07"
AX2512.14321,arxiv,2025-12-16,T1_review,6,True,Multi-Agent Medical Decision Consensus Matrix System: An Intelligent Collaborative Framework for Oncology MDT Consultations,https://arxiv.org/abs/2512.14321,"Q04,Q05,Q08,Q01,Q02,S03,S07"
PM42666549,pubmed,2026,T1_review,6,True,MediHive: A Decentralized Agent Collective for Medical Reasoning.,https://pubmed.ncbi.nlm.nih.gov/42666549/,"P01,P02,P03"
PM42289818,pubmed,2026,T1_review,6,True,Let large language models judge each other: multi-agent peer-reviewed reasoning for medical question answering.,https://pubmed.ncbi.nlm.nih.gov/42289818/,"P01,P02"
PM41874150,pubmed,2026,T1_review,6,True,A Review of Multi-Agent AI Systems for Biological and Clinical Data Analysis.,https://pubmed.ncbi.nlm.nih.gov/41874150/,"P01,P02"
PM41713127,pubmed,2026,T1_review,6,True,Agentic memory-augmented retrieval and evidence grounding for medical question-answering tasks.,https://pubmed.ncbi.nlm.nih.gov/41713127/,"P01,P02"
PM41708802,pubmed,2026,T1_review,6,True,Benchmarking large language model-based agent systems for clinical decision tasks.,https://pubmed.ncbi.nlm.nih.gov/41708802/,"P01,P02"
PM41109093,pubmed,2026,T1_review,6,True,MedARC: Adaptive multi-agent refinement and collaboration for enhanced medical reasoning in large language models.,https://pubmed.ncbi.nlm.nih.gov/41109093/,"P01,P03"
PM41494532,pubmed,2026,T1_review,6,True,Model confrontation and collaboration: A debate intelligence framework for enhancing medical reasoning in large language models.,https://pubmed.ncbi.nlm.nih.gov/41494532/,"P02,P03"
PM42727622,pubmed,2026,T1_review,6,True,Human Judgment and the Limits of Artificial Intelligence for Automated Rank Order Lists in Diagnostic Radiology Residency Selection.,https://pubmed.ncbi.nlm.nih.gov/42727622/,P03
PM42494443,pubmed,2026,T1_review,6,True,Assessing multiple-choice question quality in internal medicine: a comparative analysis of three large language models against expert consensus.,https://pubmed.ncbi.nlm.nih.gov/42494443/,P03
PM42348732,pubmed,2026,T1_review,6,True,Evaluating Source-Based Large Language Models for Preclinical Dermatology Education: Comparative Study.,https://pubmed.ncbi.nlm.nih.gov/42348732/,P03
PM42296682,pubmed,2026,T1_review,6,True,A comparative benchmark of DeepSeek-R1 on the USMLE: surpassing human and AI performance averages.,https://pubmed.ncbi.nlm.nih.gov/42296682/,P03
PM41998244,pubmed,2026,T1_review,6,True,Input structure-driven instability and convergence in large language model clinical reasoning: a formative study using pediatric residency-level MCQs.,https://pubmed.ncbi.nlm.nih.gov/41998244/,P03
AX2601.20221,arxiv,2026-01-28,T1_review,6,True,Scaling Medical Reasoning Verification via Tool-Integrated Reinforcement Learning,https://arxiv.org/abs/2601.20221,"Q04,Q14"
