id,study,venue,year,domain,rq,finding,quantitative,pub_status
X01,MedAgentBoard,NeurIPS 2026,2026,medical,RQ1/RQ3,"同 backbone 同题集下，4 个多代理系统在 MedQA 上全部低于最佳单代理配置(CoT-SC 89.90)","MedAgents 85.25 / ColaCare 84.65 / MDAgents 78.80 / ReConcile 78.00",published
X02,Multi-Agent Reasoning Improves Compute Efficiency,ACL 2026,2026,general,RQ2/RQ4/COST,"算力换准确率的收益随题目难度递增；MoA 在同等算力下优于 SC 与 debate","easy +2.2 / medium +8.5 / hard +9.0 pp；MoA 71.4 vs SC 68.7 vs debate 70.0 vs CoT 64.3",published
X03,Understanding Agent Scaling via Diversity,arXiv 2602.03794,2026,general,RQ2,"性能随代理数 N 提升但迅速饱和；同质代理因证据高度相关而更早饱和，异质性是关键","明确报告 diminishing marginal gains at larger agent counts",preprint
X04,Scaling Behavior of Single LLM-Driven MAS,arXiv 2606.00655,2026,general,RQ2,"MAS 规模化呈收益递减模式，受可用证据量支配","diminishing returns governed by scaling law",preprint
X05,Difficulty-Aware Agentic Orchestration (DAAO),WWW 2026,2026,general,RQ4/COST,"静态工作流对简单查询过度处理、对复杂查询处理不足；难度自适应路由可大幅降本","训练+推理成本 $24.16 → $2.61（10.4%/16.3%），同时准确率最高 55.37%",published
X06,GroupDebate,arXiv 2409.14051,2024,general,RQ3/COST,"分组讨论降低多代理辩论的 token 开销","efficiency-oriented debate variant",preprint
X07,More Agents Is All You Need,TMLR 2024,2024,general,RQ2,"简单多次采样+投票随代理数提升性能——非交互基线的强对照","sampling-and-voting scales with ensemble size",published
X08,ConfAgents,arXiv,2025,medical,COST,"保形预测引导的多代理框架，面向成本高效的医学诊断","cost-efficient framing",preprint
X09,MDAgents 代理数最优点,NeurIPS 2024,2024,medical,RQ2,"自适应方法在 N=3 时达到峰值 83.5%，增加代理数不再提升；同时自报 Adaptive(N=3)=9.3 API calls vs MedAgents(N=5)=20.3 calls","N=3 峰值 83.5%；调用数 9.3 vs 20.3",published
X10,MedAgents 最优代理数,Findings ACL 2024,2024,medical,RQ2,"MedQA/MedMCQA/MMLU 最优为 5 个 question agent + 2 个 option agent；PubMedQA 为 4+2","optimal 5+2 / 4+2",published
X11,CAMEC 复杂度路由,ACL 2026 Long,2026,medical,RQ4/COST,"按预测复杂度路由并选择性召集专家，声称减少专家调用与推理成本；中文四基准相对 HuatuoGPT-o1-7B 提升 4.0-4.8 pp","CMExam +4.76 / MedQA-CN +4.35 / CMMLU-Med +4.01",published
X12,JAMIA judge vs vote,JAMIA 2026,2026,medical,RQ3/COST,"【Epoch3 修正】此前误读表格区块。正确结论：便宜的多数投票相对最强单代理中位 -0.71 pp（并不划算）；同伴评审 judge 相对投票 +4.00 pp，但需额外一轮评审调用","judge +2.46 / vote -0.71 vs 最强单代理；judge-vote +4.00",published
