dim	title	meta	cites
RQ3	Let large language models judge each other: multi-agent peer-reviewed reasoning for medical question answering	JAMIA 2026	3
RQ3	A dynamic agent framework for large language model reasoning for medical and visual question answering	IEEE/CVF 2025	3
RQ3	MedLA: A logic-driven multi-agent framework for complex medical reasoning	AAAI 2026	19
RQ3	A self-evolving framework for multi-agent medical consultation based on large language models	ICASSP 2025	21
RQ3	MedARC: Adaptive multi-agent refinement and collaboration for enhanced medical reasoning	Int J Med Informatics 2025	15
RQ3	A Survey of LLM-based Multi-agent Systems in Medicine	OpenReview 2025	14
RQ3	ColaCare: Enhancing EHR modeling through LLM-driven multi-agent collaboration	ACM 2025	107
RQ3	LAMP-MedQA: A Lightweight Multi-Agent System for Patient-Oriented Medical Question Answering	ACL SRW 2026	0
RQ2	Understanding agent scaling in LLM-based multi-agent systems via diversity	arXiv 2026	25
RQ2	Scaling Behavior of Single LLM-Driven Multi-Agent Systems	arXiv 2606.00655	3
RQ2	Limited Predictive Power of Communication Quantity for Task Performance in LLM Multi-Agent Collaboration	IEEE Big Data 2026	0
RQ2	Towards a science of scaling agent systems	arXiv 2025	109
RQ2	More agents is all you need	TMLR 2024 / arXiv 2402.05120	341
RQ2	Silo-bench: scalable environment for evaluating distributed coordination in multi-agent llm systems	ACL Anthology 2026	11
RQ2	Trade-offs in Agentic AI: Benchmarking Accuracy, Latency, and Energy Across Multi-Agent LLM Systems	preprint	0
RQ2	Auto-scaling LLM-based multi-agent systems through dynamic integration of agents	Frontiers in AI 2025	14
COST	MedAgentBoard: Benchmarking multi-agent collaboration with conventional methods for diverse medical tasks	NeurIPS 2026	48
COST	ConfAgents: A conformal-guided multi-agent framework for cost-efficient medical diagnosis	arXiv 2025	14
COST	GroupDebate: Enhancing the efficiency of multi-agent debate using group discussion	arXiv 2024	86
COST	DDO: Dual-decision optimization for LLM-based medical consultation via multi-agent collaboration	ACL 2025	10
RQ4	AI Hospital: Benchmarking large language models in a multi-agent medical interaction simulator	ACL 2025	180
RQ4	Performance of single-agent and multi-agent language models in Spanish language medical competency exams	BMC Med Educ 2025	20
RQ4	Enhancing diagnostic capability with multi-agents conversational large language models	npj Digital Medicine 2025	160
RQ4	MDTeamGPT: Mitigating Context Collapse and Enabling Self-Evolution in Medical Multi-Agent Reasoning	Findings ACL 2026	2
RQ3	Encouraging divergent thinking in large language models through multi-agent debate	EMNLP 2024	1612
RQ3	Should we be going MAD? A look at multi-agent debate strategies for LLMs	arXiv 2023	155
RQ3	Demystifying multi-agent debate: The role of confidence and diversity	Findings 2026	24
RQ3	The hidden strength of disagreement: consensus-diversity tradeoff in adaptive multi-agent systems	EMNLP 2025	27
